pollster,numeric_grade,state,candidate_name,party,pct,sample_size,population,start_date,end_date,recent_poll
Siena/NYT,3,Texas,Kamala Harris,DEM,41,1180,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Texas,Donald Trump,REP,52,1180,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Texas,Kamala Harris,DEM,40,1180,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Texas,Donald Trump,REP,50,1180,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Texas,Kamala Harris,DEM,42,1180,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Texas,Donald Trump,REP,52,1180,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Texas,Kamala Harris,DEM,40,1180,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Texas,Donald Trump,REP,51,1180,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Kamala Harris,DEM,40,1194,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Donald Trump,REP,55,1194,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Kamala Harris,DEM,38,1194,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Donald Trump,REP,53,1194,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Kamala Harris,DEM,40,1194,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Donald Trump,REP,55,1194,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Kamala Harris,DEM,39,1194,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Donald Trump,REP,53,1194,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Kamala Harris,DEM,54,500,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Donald Trump,REP,42,500,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Kamala Harris,DEM,53,500,Voters,2024-10-23,2024-10-26,Recent
Siena/NYT,3,Nebraska,Donald Trump,REP,41,500,Voters,2024-10-23,2024-10-26,Recent
SurveyUSA,2.8,North Carolina,Kamala Harris,DEM,47,853,Voters,2024-10-23,2024-10-26,Recent
SurveyUSA,2.8,North Carolina,Donald Trump,REP,47,853,Voters,2024-10-23,2024-10-26,Recent
North Star Opinion Research,1.1,Pennsylvania,Kamala Harris,DEM,47,600,Voters,2024-10-22,2024-10-26,Recent
North Star Opinion Research,1.1,Pennsylvania,Donald Trump,REP,47,600,Voters,2024-10-22,2024-10-26,Recent
CNN/SSRS,2.8,Arizona,Kamala Harris,DEM,48,781,Voters,2024-10-21,2024-10-26,Recent
CNN/SSRS,2.8,Arizona,Donald Trump,REP,47,781,Voters,2024-10-21,2024-10-26,Recent
CNN/SSRS,2.8,Nevada,Kamala Harris,DEM,47,683,Voters,2024-10-21,2024-10-26,Recent
CNN/SSRS,2.8,Nevada,Donald Trump,REP,48,683,Voters,2024-10-21,2024-10-26,Recent
Emerson,2.9,Montana,Kamala Harris,DEM,39.6,1000,Voters,2024-10-23,2024-10-25,Recent
Emerson,2.9,Montana,Donald Trump,REP,58.6,1000,Voters,2024-10-23,2024-10-25,Recent
St. Pete Polls,2.4,Florida,Kamala Harris,DEM,44.6,1227,Voters,2024-10-23,2024-10-25,Recent
St. Pete Polls,2.4,Florida,Donald Trump,REP,50.3,1227,Voters,2024-10-23,2024-10-25,Recent
CES / YouGov,3,Arizona,Kamala Harris,DEM,49,2077,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Arizona,Donald Trump,REP,49,2077,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Arizona,Kamala Harris,DEM,47,2066,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Arizona,Donald Trump,REP,51,2066,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Florida,Kamala Harris,DEM,47,5952,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Florida,Donald Trump,REP,51,5952,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Florida,Kamala Harris,DEM,46,5916,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Florida,Donald Trump,REP,52,5916,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Georgia,Kamala Harris,DEM,48,2682,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Georgia,Donald Trump,REP,49,2682,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Georgia,Kamala Harris,DEM,46,2663,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Georgia,Donald Trump,REP,51,2663,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Michigan,Kamala Harris,DEM,52,2347,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Michigan,Donald Trump,REP,45,2347,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Michigan,Kamala Harris,DEM,51,2336,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Michigan,Donald Trump,REP,46,2336,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Minnesota,Kamala Harris,DEM,52,1278,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Minnesota,Donald Trump,REP,44,1278,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Minnesota,Kamala Harris,DEM,53,1275,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Minnesota,Donald Trump,REP,43,1275,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Nevada,Kamala Harris,DEM,53,940,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Nevada,Donald Trump,REP,44,940,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Nevada,Kamala Harris,DEM,51,933,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Nevada,Donald Trump,REP,47,933,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,New Hampshire,Kamala Harris,DEM,52,380,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,New Hampshire,Donald Trump,REP,45,380,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,New Hampshire,Kamala Harris,DEM,52,375,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,New Hampshire,Donald Trump,REP,45,375,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,North Carolina,Kamala Harris,DEM,49,2330,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,North Carolina,Donald Trump,REP,48,2330,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,North Carolina,Kamala Harris,DEM,48,2308,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,North Carolina,Donald Trump,REP,50,2308,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Ohio,Kamala Harris,DEM,45,3120,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Ohio,Donald Trump,REP,52,3120,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Ohio,Kamala Harris,DEM,45,3091,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Ohio,Donald Trump,REP,52,3091,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Pennsylvania,Kamala Harris,DEM,50,3708,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Pennsylvania,Donald Trump,REP,47,3708,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Pennsylvania,Kamala Harris,DEM,49,3685,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Pennsylvania,Donald Trump,REP,48,3685,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Texas,Kamala Harris,DEM,47,6526,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Texas,Donald Trump,REP,51,6526,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Texas,Kamala Harris,DEM,47,6473,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Texas,Donald Trump,REP,51,6473,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Virginia,Kamala Harris,DEM,53,2027,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Virginia,Donald Trump,REP,44,2027,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Virginia,Kamala Harris,DEM,52,2015,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Virginia,Donald Trump,REP,44,2015,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Wisconsin,Kamala Harris,DEM,51,1552,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Wisconsin,Donald Trump,REP,46,1552,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Wisconsin,Kamala Harris,DEM,50,1542,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Wisconsin,Donald Trump,REP,47,1542,Voters,2024-10-01,2024-10-25,Recent
Cygnal,2.1,New Jersey,Kamala Harris,DEM,51.8,600,Voters,2024-10-23,2024-10-24,Recent
Cygnal,2.1,New Jersey,Donald Trump,REP,40.3,600,Voters,2024-10-23,2024-10-24,Recent
Cygnal,2.1,New Jersey,Kamala Harris,DEM,51.8,600,Voters,2024-10-23,2024-10-24,Recent
Cygnal,2.1,New Jersey,Donald Trump,REP,40.3,600,Voters,2024-10-23,2024-10-24,Recent
Glengariff Group Inc.,1.5,Michigan,Kamala Harris,DEM,46.7,600,Voters,2024-10-22,2024-10-24,Recent
Glengariff Group Inc.,1.5,Michigan,Donald Trump,REP,43.7,600,Voters,2024-10-22,2024-10-24,Recent
Marquette Law School,3,Wisconsin,Kamala Harris,DEM,50,753,Voters,2024-10-16,2024-10-24,Recent
Marquette Law School,3,Wisconsin,Donald Trump,REP,49,753,Voters,2024-10-16,2024-10-24,Recent
Marquette Law School,3,Wisconsin,Kamala Harris,DEM,46,753,Voters,2024-10-16,2024-10-24,Recent
Marquette Law School,3,Wisconsin,Donald Trump,REP,44,753,Voters,2024-10-16,2024-10-24,Recent
Marquette Law School,3,Wisconsin,Kamala Harris,DEM,51,834,Voters,2024-10-16,2024-10-24,Recent
Marquette Law School,3,Wisconsin,Donald Trump,REP,49,834,Voters,2024-10-16,2024-10-24,Recent
Marquette Law School,3,Wisconsin,Kamala Harris,DEM,46,834,Voters,2024-10-16,2024-10-24,Recent
Marquette Law School,3,Wisconsin,Donald Trump,REP,43,834,Voters,2024-10-16,2024-10-24,Recent
Emerson,2.9,New Hampshire,Kamala Harris,DEM,50.9,915,Voters,2024-10-21,2024-10-23,Recent
Emerson,2.9,New Hampshire,Donald Trump,REP,47.2,915,Voters,2024-10-21,2024-10-23,Recent
Suffolk,2.9,Wisconsin,Kamala Harris,DEM,46.6,500,Voters,2024-10-20,2024-10-23,Recent
Suffolk,2.9,Wisconsin,Donald Trump,REP,48,500,Voters,2024-10-20,2024-10-23,Recent
Washington Post/George Mason University,2.7,Virginia,Kamala Harris,DEM,49,1004,Voters,2024-10-19,2024-10-23,Recent
Washington Post/George Mason University,2.7,Virginia,Donald Trump,REP,43,1004,Voters,2024-10-19,2024-10-23,Recent
Washington Post/George Mason University,2.7,Virginia,Kamala Harris,DEM,48,1004,Voters,2024-10-19,2024-10-23,Recent
Washington Post/George Mason University,2.7,Virginia,Donald Trump,REP,42,1004,Voters,2024-10-19,2024-10-23,Recent
Emerson,2.9,Pennsylvania,Kamala Harris,DEM,49,860,Voters,2024-10-21,2024-10-22,Recent
Emerson,2.9,Pennsylvania,Donald Trump,REP,50.7,860,Voters,2024-10-21,2024-10-22,Recent
Emerson,2.9,North Carolina,Kamala Harris,DEM,48.2,950,Voters,2024-10-21,2024-10-22,Recent
Emerson,2.9,North Carolina,Donald Trump,REP,50.2,950,Voters,2024-10-21,2024-10-22,Recent
Emerson,2.9,Wisconsin,Kamala Harris,DEM,49.2,800,Voters,2024-10-21,2024-10-22,Recent
Emerson,2.9,Wisconsin,Donald Trump,REP,49.9,800,Voters,2024-10-21,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Arizona,Kamala Harris,DEM,46,710,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Arizona,Donald Trump,REP,48,710,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Georgia,Kamala Harris,DEM,47,1168,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Georgia,Donald Trump,REP,48,1168,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Michigan,Kamala Harris,DEM,47,1115,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Michigan,Donald Trump,REP,47,1115,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Nevada,Kamala Harris,DEM,46,540,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Nevada,Donald Trump,REP,47,540,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Kamala Harris,DEM,47,679,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,North Carolina,Donald Trump,REP,48,679,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Kamala Harris,DEM,48,1586,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Pennsylvania,Donald Trump,REP,47,1586,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Kamala Harris,DEM,49,557,Voters,2024-10-20,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Wisconsin,Donald Trump,REP,47,557,Voters,2024-10-20,2024-10-22,Recent
Alaska Survey Research,1.9,Alaska,Kamala Harris,DEM,43,1703,Voters,2024-10-20,2024-10-22,Recent
Alaska Survey Research,1.9,Alaska,Donald Trump,REP,51,1703,Voters,2024-10-20,2024-10-22,Recent
Alaska Survey Research,1.9,Alaska,Kamala Harris,DEM,45,1703,Voters,2024-10-20,2024-10-22,Recent
Alaska Survey Research,1.9,Alaska,Donald Trump,REP,55,1703,Voters,2024-10-20,2024-10-22,Recent
Emerson,2.9,South Dakota,Kamala Harris,DEM,36.5,825,Voters,2024-10-19,2024-10-22,Recent
Emerson,2.9,South Dakota,Donald Trump,REP,62,825,Voters,2024-10-19,2024-10-22,Recent
OnMessage Inc.,1.1,Nevada,Kamala Harris,DEM,47,600,Voters,2024-10-19,2024-10-22,Recent
OnMessage Inc.,1.1,Nevada,Donald Trump,REP,50,600,Voters,2024-10-19,2024-10-22,Recent
OnMessage Inc.,1.1,Ohio,Kamala Harris,DEM,44,600,Voters,2024-10-19,2024-10-22,Recent
OnMessage Inc.,1.1,Ohio,Donald Trump,REP,52,600,Voters,2024-10-19,2024-10-22,Recent
OnMessage Inc.,1.1,Wisconsin,Kamala Harris,DEM,47,600,Voters,2024-10-19,2024-10-22,Recent
OnMessage Inc.,1.1,Wisconsin,Donald Trump,REP,48,600,Voters,2024-10-19,2024-10-22,Recent
East Carolina University,2.6,South Carolina,Kamala Harris,DEM,42,950,Voters,2024-10-18,2024-10-22,Recent
East Carolina University,2.6,South Carolina,Donald Trump,REP,55.1,950,Voters,2024-10-18,2024-10-22,Recent
Susquehanna,2.3,Pennsylvania,Kamala Harris,DEM,46,500,Voters,2024-10-18,2024-10-22,Recent
Susquehanna,2.3,Pennsylvania,Donald Trump,REP,45.8,500,Voters,2024-10-18,2024-10-22,Recent
Marist,2.9,Georgia,Kamala Harris,DEM,49,1356,Voters,2024-10-17,2024-10-22,Recent
Marist,2.9,Georgia,Donald Trump,REP,48,1356,Voters,2024-10-17,2024-10-22,Recent
Marist,2.9,Georgia,Kamala Harris,DEM,49,1193,Voters,2024-10-17,2024-10-22,Recent
Marist,2.9,Georgia,Donald Trump,REP,49,1193,Voters,2024-10-17,2024-10-22,Recent
Marist,2.9,North Carolina,Kamala Harris,DEM,48,1410,Voters,2024-10-17,2024-10-22,Recent
Marist,2.9,North Carolina,Donald Trump,REP,49,1410,Voters,2024-10-17,2024-10-22,Recent
