pollster,numeric_grade,candidate_name,party,pct,sample_size,population,start_date,end_date,recent_poll
TIPP,1.8,Kamala Harris,DEM,48,1249,Voters,2024-10-29,2024-10-31,Recent
TIPP,1.8,Donald Trump,REP,49,1249,Voters,2024-10-29,2024-10-31,Recent
TIPP,1.8,Kamala Harris,DEM,47.8,1249,Voters,2024-10-29,2024-10-31,Recent
TIPP,1.8,Donald Trump,REP,48.5,1249,Voters,2024-10-29,2024-10-31,Recent
Morning Consult,1.9,Kamala Harris,DEM,49,8918,Voters,2024-10-29,2024-10-31,Recent
Morning Consult,1.9,Donald Trump,REP,47,8918,Voters,2024-10-29,2024-10-31,Recent
YouGov,3,Kamala Harris,DEM,47,1267,Voters,2024-10-29,2024-10-31,Recent
YouGov,3,Donald Trump,REP,47,1267,Voters,2024-10-29,2024-10-31,Recent
YouGov,3,Kamala Harris,DEM,48,1152,Voters,2024-10-29,2024-10-31,Recent
YouGov,3,Donald Trump,REP,48,1152,Voters,2024-10-29,2024-10-31,Recent
YouGov,3,Kamala Harris,DEM,48,1267,Voters,2024-10-29,2024-10-31,Recent
YouGov,3,Donald Trump,REP,48,1267,Voters,2024-10-29,2024-10-31,Recent
YouGov,3,Kamala Harris,DEM,49,1152,Voters,2024-10-29,2024-10-31,Recent
YouGov,3,Donald Trump,REP,48,1152,Voters,2024-10-29,2024-10-31,Recent
Echelon Insights,2.7,Kamala Harris,DEM,49,1328,Voters,2024-10-28,2024-10-31,Recent
Echelon Insights,2.7,Donald Trump,REP,47,1328,Voters,2024-10-28,2024-10-31,Recent
Echelon Insights,2.7,Kamala Harris,DEM,50,1328,Voters,2024-10-28,2024-10-31,Recent
Echelon Insights,2.7,Donald Trump,REP,48,1328,Voters,2024-10-28,2024-10-31,Recent
TIPP,1.8,Kamala Harris,DEM,48,1265,Voters,2024-10-28,2024-10-30,Recent
TIPP,1.8,Donald Trump,REP,48,1265,Voters,2024-10-28,2024-10-30,Recent
TIPP,1.8,Kamala Harris,DEM,48,1265,Voters,2024-10-28,2024-10-30,Recent
TIPP,1.8,Donald Trump,REP,48,1265,Voters,2024-10-28,2024-10-30,Recent
OnMessage Inc.,1.1,Kamala Harris,DEM,45,800,Voters,2024-10-28,2024-10-30,Recent
OnMessage Inc.,1.1,Donald Trump,REP,47,800,Voters,2024-10-28,2024-10-30,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8868,Voters,2024-10-28,2024-10-30,Recent
Morning Consult,1.9,Donald Trump,REP,47,8868,Voters,2024-10-28,2024-10-30,Recent
RABA Research,1.3,Kamala Harris,DEM,48,781,Voters,2024-10-29,2024-10-29,Recent
RABA Research,1.3,Donald Trump,REP,44,781,Voters,2024-10-29,2024-10-29,Recent
TIPP,1.8,Kamala Harris,DEM,48.3,1302,Voters,2024-10-27,2024-10-29,Recent
TIPP,1.8,Donald Trump,REP,47.5,1302,Voters,2024-10-27,2024-10-29,Recent
TIPP,1.8,Kamala Harris,DEM,48,1302,Voters,2024-10-27,2024-10-29,Recent
TIPP,1.8,Donald Trump,REP,47,1302,Voters,2024-10-27,2024-10-29,Recent
HarrisX,1.5,Kamala Harris,DEM,51,4523,Voters,2024-10-27,2024-10-29,Recent
HarrisX,1.5,Donald Trump,REP,49,4523,Voters,2024-10-27,2024-10-29,Recent
HarrisX,1.5,Kamala Harris,DEM,51,3718,Voters,2024-10-27,2024-10-29,Recent
HarrisX,1.5,Donald Trump,REP,49,3718,Voters,2024-10-27,2024-10-29,Recent
HarrisX,1.5,Kamala Harris,DEM,48,4523,Voters,2024-10-27,2024-10-29,Recent
HarrisX,1.5,Donald Trump,REP,47,4523,Voters,2024-10-27,2024-10-29,Recent
HarrisX,1.5,Kamala Harris,DEM,49,3718,Voters,2024-10-27,2024-10-29,Recent
HarrisX,1.5,Donald Trump,REP,48,3718,Voters,2024-10-27,2024-10-29,Recent
Big Data Poll,1.1,Kamala Harris,DEM,49.7,2814,Voters,2024-10-27,2024-10-29,Recent
Big Data Poll,1.1,Donald Trump,REP,50.3,2814,Voters,2024-10-27,2024-10-29,Recent
Big Data Poll,1.1,Kamala Harris,DEM,49.9,2992,Voters,2024-10-27,2024-10-29,Recent
Big Data Poll,1.1,Donald Trump,REP,50.1,2992,Voters,2024-10-27,2024-10-29,Recent
Big Data Poll,1.1,Kamala Harris,DEM,47.3,2814,Voters,2024-10-27,2024-10-29,Recent
Big Data Poll,1.1,Donald Trump,REP,48,2814,Voters,2024-10-27,2024-10-29,Recent
Big Data Poll,1.1,Kamala Harris,DEM,46.8,2992,Voters,2024-10-27,2024-10-29,Recent
Big Data Poll,1.1,Donald Trump,REP,47,2992,Voters,2024-10-27,2024-10-29,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8999,Voters,2024-10-27,2024-10-29,Recent
Morning Consult,1.9,Donald Trump,REP,47,8999,Voters,2024-10-27,2024-10-29,Recent
YouGov,3,Kamala Harris,DEM,47,1446,Voters,2024-10-26,2024-10-29,Recent
YouGov,3,Donald Trump,REP,46,1446,Voters,2024-10-26,2024-10-29,Recent
YouGov,3,Kamala Harris,DEM,49,1310,Voters,2024-10-26,2024-10-29,Recent
YouGov,3,Donald Trump,REP,47,1310,Voters,2024-10-26,2024-10-29,Recent
J.L. Partners,1.6,Kamala Harris,DEM,46,1000,Voters,2024-10-26,2024-10-29,Recent
J.L. Partners,1.6,Donald Trump,REP,49,1000,Voters,2024-10-26,2024-10-29,Recent
J.L. Partners,1.6,Kamala Harris,DEM,47,1000,Voters,2024-10-26,2024-10-29,Recent
J.L. Partners,1.6,Donald Trump,REP,50,1000,Voters,2024-10-26,2024-10-29,Recent
AtlasIntel,2.7,Kamala Harris,DEM,47,3032,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Donald Trump,REP,49.5,3032,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Kamala Harris,DEM,48.1,3032,Voters,2024-10-25,2024-10-29,Recent
AtlasIntel,2.7,Donald Trump,REP,49.8,3032,Voters,2024-10-25,2024-10-29,Recent
TIPP,1.8,Kamala Harris,DEM,48,1291,Voters,2024-10-26,2024-10-28,Recent
TIPP,1.8,Donald Trump,REP,47,1291,Voters,2024-10-26,2024-10-28,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,9148,Voters,2024-10-26,2024-10-28,Recent
Morning Consult,1.9,Donald Trump,REP,46,9148,Voters,2024-10-26,2024-10-28,Recent
HarrisX,1.5,Kamala Harris,DEM,50,1717,Voters,2024-10-25,2024-10-28,Recent
HarrisX,1.5,Donald Trump,REP,50,1717,Voters,2024-10-25,2024-10-28,Recent
HarrisX,1.5,Kamala Harris,DEM,50,1475,Voters,2024-10-25,2024-10-28,Recent
HarrisX,1.5,Donald Trump,REP,50,1475,Voters,2024-10-25,2024-10-28,Recent
HarrisX,1.5,Kamala Harris,DEM,49,1717,Voters,2024-10-25,2024-10-28,Recent
HarrisX,1.5,Donald Trump,REP,48,1717,Voters,2024-10-25,2024-10-28,Recent
HarrisX,1.5,Kamala Harris,DEM,49,1475,Voters,2024-10-25,2024-10-28,Recent
HarrisX,1.5,Donald Trump,REP,49,1475,Voters,2024-10-25,2024-10-28,Recent
TIPP,1.8,Kamala Harris,DEM,48,1288,Voters,2024-10-25,2024-10-27,Recent
TIPP,1.8,Donald Trump,REP,48,1288,Voters,2024-10-25,2024-10-27,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8807,Voters,2024-10-25,2024-10-27,Recent
Morning Consult,1.9,Donald Trump,REP,47,8807,Voters,2024-10-25,2024-10-27,Recent
Ipsos,2.8,Kamala Harris,DEM,44,975,Voters,2024-10-25,2024-10-27,Recent
Ipsos,2.8,Donald Trump,REP,43,975,Voters,2024-10-25,2024-10-27,Recent
Ipsos,2.8,Kamala Harris,DEM,47,850,Voters,2024-10-25,2024-10-27,Recent
Ipsos,2.8,Donald Trump,REP,46,850,Voters,2024-10-25,2024-10-27,Recent
Ipsos,2.8,Kamala Harris,DEM,40,1150,Adults,2024-10-25,2024-10-27,Recent
Ipsos,2.8,Donald Trump,REP,41,1150,Adults,2024-10-25,2024-10-27,Recent
Angus Reid,2,Kamala Harris,DEM,49,1928,Voters,2024-10-23,2024-10-27,Recent
Angus Reid,2,Donald Trump,REP,47,1928,Voters,2024-10-23,2024-10-27,Recent
Noble Predictive Insights,2.4,Kamala Harris,DEM,49,707,Voters,2024-10-23,2024-10-27,Recent
Noble Predictive Insights,2.4,Donald Trump,REP,46,707,Voters,2024-10-23,2024-10-27,Recent
TIPP,1.8,Kamala Harris,DEM,48,1292,Voters,2024-10-24,2024-10-26,Recent
TIPP,1.8,Donald Trump,REP,48,1292,Voters,2024-10-24,2024-10-26,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8472,Voters,2024-10-24,2024-10-26,Recent
Morning Consult,1.9,Donald Trump,REP,46,8472,Voters,2024-10-24,2024-10-26,Recent
Cygnal,2.1,Kamala Harris,DEM,46.1,1507,Voters,2024-10-24,2024-10-26,Recent
Cygnal,2.1,Donald Trump,REP,45,1507,Voters,2024-10-24,2024-10-26,Recent
Cygnal,2.1,Kamala Harris,DEM,49.9,1507,Voters,2024-10-24,2024-10-26,Recent
Cygnal,2.1,Donald Trump,REP,46.9,1507,Voters,2024-10-24,2024-10-26,Recent
TIPP,1.8,Kamala Harris,DEM,48,1333,Voters,2024-10-23,2024-10-25,Recent
TIPP,1.8,Donald Trump,REP,48,1333,Voters,2024-10-23,2024-10-25,Recent
YouGov,3,Kamala Harris,DEM,50,2154,Voters,2024-10-23,2024-10-25,Recent
YouGov,3,Donald Trump,REP,49,2154,Voters,2024-10-23,2024-10-25,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8443,Voters,2024-10-23,2024-10-25,Recent
Morning Consult,1.9,Donald Trump,REP,46,8443,Voters,2024-10-23,2024-10-25,Recent
CES / YouGov,3,Kamala Harris,DEM,51,78247,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Donald Trump,REP,46,78247,Adults,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Kamala Harris,DEM,51,48732,Voters,2024-10-01,2024-10-25,Recent
CES / YouGov,3,Donald Trump,REP,47,48732,Voters,2024-10-01,2024-10-25,Recent
Emerson,2.9,Kamala Harris,DEM,49.3,1000,Voters,2024-10-23,2024-10-24,Recent
Emerson,2.9,Donald Trump,REP,49.3,1000,Voters,2024-10-23,2024-10-24,Recent
TIPP,1.8,Kamala Harris,DEM,49,1357,Voters,2024-10-22,2024-10-24,Recent
TIPP,1.8,Donald Trump,REP,47,1357,Voters,2024-10-22,2024-10-24,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8669,Voters,2024-10-22,2024-10-24,Recent
Morning Consult,1.9,Donald Trump,REP,46,8669,Voters,2024-10-22,2024-10-24,Recent
TIPP,1.8,Kamala Harris,DEM,50,1294,Voters,2024-10-21,2024-10-23,Recent
TIPP,1.8,Donald Trump,REP,47,1294,Voters,2024-10-21,2024-10-23,Recent
OnMessage Inc.,1.1,Kamala Harris,DEM,46,800,Voters,2024-10-21,2024-10-23,Recent
OnMessage Inc.,1.1,Donald Trump,REP,47,800,Voters,2024-10-21,2024-10-23,Recent
Tufts,1.8,Kamala Harris,DEM,49,1033,Adults,2024-10-21,2024-10-23,Recent
Tufts,1.8,Donald Trump,REP,45,1033,Adults,2024-10-21,2024-10-23,Recent
Tufts,1.8,Kamala Harris,DEM,49,633,Voters,2024-10-21,2024-10-23,Recent
Tufts,1.8,Donald Trump,REP,48,633,Voters,2024-10-21,2024-10-23,Recent
Morning Consult,1.9,Kamala Harris,DEM,49,8882,Voters,2024-10-21,2024-10-23,Recent
Morning Consult,1.9,Donald Trump,REP,47,8882,Voters,2024-10-21,2024-10-23,Recent
Siena/NYT,3,Kamala Harris,DEM,47,2516,Voters,2024-10-20,2024-10-23,Recent
Siena/NYT,3,Donald Trump,REP,47,2516,Voters,2024-10-20,2024-10-23,Recent
Siena/NYT,3,Kamala Harris,DEM,45,2516,Voters,2024-10-20,2024-10-23,Recent
Siena/NYT,3,Donald Trump,REP,46,2516,Voters,2024-10-20,2024-10-23,Recent
Siena/NYT,3,Kamala Harris,DEM,48,2516,Voters,2024-10-20,2024-10-23,Recent
Siena/NYT,3,Donald Trump,REP,48,2516,Voters,2024-10-20,2024-10-23,Recent
Siena/NYT,3,Kamala Harris,DEM,46,2516,Voters,2024-10-20,2024-10-23,Recent
Siena/NYT,3,Donald Trump,REP,47,2516,Voters,2024-10-20,2024-10-23,Recent
CNN/SSRS,2.8,Kamala Harris,DEM,47,1704,Voters,2024-10-20,2024-10-23,Recent
CNN/SSRS,2.8,Donald Trump,REP,47,1704,Voters,2024-10-20,2024-10-23,Recent
CNN/SSRS,2.8,Kamala Harris,DEM,47,1704,Voters,2024-10-20,2024-10-23,Recent
CNN/SSRS,2.8,Donald Trump,REP,46,1704,Voters,2024-10-20,2024-10-23,Recent
Big Village,1.2,Kamala Harris,DEM,46.2,2026,Adults,2024-10-18,2024-10-23,Recent
Big Village,1.2,Donald Trump,REP,41.1,2026,Adults,2024-10-18,2024-10-23,Recent
Big Village,1.2,Kamala Harris,DEM,49,1739,Voters,2024-10-18,2024-10-23,Recent
Big Village,1.2,Donald Trump,REP,43.2,1739,Voters,2024-10-18,2024-10-23,Recent
Big Village,1.2,Kamala Harris,DEM,51.6,1592,Voters,2024-10-18,2024-10-23,Recent
Big Village,1.2,Donald Trump,REP,45,1592,Voters,2024-10-18,2024-10-23,Recent
Clarity,1.6,Kamala Harris,DEM,50,1314,Voters,2024-10-17,2024-10-23,Recent
Clarity,1.6,Donald Trump,REP,46,1314,Voters,2024-10-17,2024-10-23,Recent
Clarity,1.6,Kamala Harris,DEM,55,1314,Voters,2024-10-17,2024-10-23,Recent
HarrisX,1.5,Kamala Harris,DEM,49,1512,Voters,2024-10-21,2024-10-22,Recent
HarrisX,1.5,Donald Trump,REP,51,1512,Voters,2024-10-21,2024-10-22,Recent
HarrisX,1.5,Kamala Harris,DEM,49,1244,Voters,2024-10-21,2024-10-22,Recent
HarrisX,1.5,Donald Trump,REP,51,1244,Voters,2024-10-21,2024-10-22,Recent
HarrisX,1.5,Kamala Harris,DEM,48,1512,Voters,2024-10-21,2024-10-22,Recent
HarrisX,1.5,Donald Trump,REP,48,1512,Voters,2024-10-21,2024-10-22,Recent
HarrisX,1.5,Kamala Harris,DEM,48,1244,Voters,2024-10-21,2024-10-22,Recent
HarrisX,1.5,Donald Trump,REP,49,1244,Voters,2024-10-21,2024-10-22,Recent
TIPP,1.8,Kamala Harris,DEM,49,1294,Voters,2024-10-20,2024-10-22,Recent
TIPP,1.8,Donald Trump,REP,47,1294,Voters,2024-10-20,2024-10-22,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8914,Voters,2024-10-20,2024-10-22,Recent
Morning Consult,1.9,Donald Trump,REP,46,8914,Voters,2024-10-20,2024-10-22,Recent
YouGov,3,Kamala Harris,DEM,48,1422,Voters,2024-10-19,2024-10-22,Recent
YouGov,3,Donald Trump,REP,46,1422,Voters,2024-10-19,2024-10-22,Recent
YouGov,3,Kamala Harris,DEM,49,1293,Voters,2024-10-19,2024-10-22,Recent
YouGov,3,Donald Trump,REP,46,1293,Voters,2024-10-19,2024-10-22,Recent
Ipsos,2.8,Kamala Harris,DEM,48,2808,Adults,2024-10-18,2024-10-22,Recent
Ipsos,2.8,Donald Trump,REP,47,2808,Adults,2024-10-18,2024-10-22,Recent
Ipsos,2.8,Kamala Harris,DEM,49,2392,Voters,2024-10-18,2024-10-22,Recent
Ipsos,2.8,Donald Trump,REP,47,2392,Voters,2024-10-18,2024-10-22,Recent
Ipsos,2.8,Kamala Harris,DEM,51,1913,Voters,2024-10-18,2024-10-22,Recent
Ipsos,2.8,Donald Trump,REP,47,1913,Voters,2024-10-18,2024-10-22,Recent
Redfield & Wilton Strategies,1.8,Kamala Harris,DEM,45,1189,Voters,2024-10-21,2024-10-21,Recent
Redfield & Wilton Strategies,1.8,Donald Trump,REP,47,1189,Voters,2024-10-21,2024-10-21,Recent
TIPP,1.8,Kamala Harris,DEM,48,1268,Voters,2024-10-19,2024-10-21,Recent
TIPP,1.8,Donald Trump,REP,48,1268,Voters,2024-10-19,2024-10-21,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8940,Voters,2024-10-19,2024-10-21,Recent
Morning Consult,1.9,Donald Trump,REP,46,8940,Voters,2024-10-19,2024-10-21,Recent
YouGov,3,Kamala Harris,DEM,47,1266,Voters,2024-10-18,2024-10-21,Recent
YouGov,3,Donald Trump,REP,45,1266,Voters,2024-10-18,2024-10-21,Recent
YouGov,3,Kamala Harris,DEM,48,1189,Voters,2024-10-18,2024-10-21,Recent
YouGov,3,Donald Trump,REP,45,1189,Voters,2024-10-18,2024-10-21,Recent
Monmouth,2.9,Kamala Harris,DEM,47,802,Voters,2024-10-17,2024-10-21,Recent
Monmouth,2.9,Donald Trump,REP,44,802,Voters,2024-10-17,2024-10-21,Recent
Ipsos,2.8,Kamala Harris,DEM,46,3481,Voters,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Donald Trump,REP,43,3481,Voters,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Kamala Harris,DEM,48,3307,Voters,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Donald Trump,REP,45,3307,Voters,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Kamala Harris,DEM,41,4129,Adults,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Donald Trump,REP,39,4129,Adults,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Kamala Harris,DEM,41,4129,Adults,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Donald Trump,REP,39,4129,Adults,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Kamala Harris,DEM,45,3481,Voters,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Donald Trump,REP,43,3481,Voters,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Kamala Harris,DEM,47,3307,Voters,2024-10-16,2024-10-21,Recent
Ipsos,2.8,Donald Trump,REP,45,3307,Voters,2024-10-16,2024-10-21,Recent
TIPP,1.8,Kamala Harris,DEM,47,1244,Voters,2024-10-18,2024-10-20,Recent
TIPP,1.8,Donald Trump,REP,48,1244,Voters,2024-10-18,2024-10-20,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8570,Voters,2024-10-18,2024-10-20,Recent
Morning Consult,1.9,Donald Trump,REP,46,8570,Voters,2024-10-18,2024-10-20,Recent
TIPP,1.8,Kamala Harris,DEM,47,1254,Voters,2024-10-17,2024-10-19,Recent
TIPP,1.8,Donald Trump,REP,49,1254,Voters,2024-10-17,2024-10-19,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8170,Voters,2024-10-17,2024-10-19,Recent
Morning Consult,1.9,Donald Trump,REP,46,8170,Voters,2024-10-17,2024-10-19,Recent
Hart/POS,2.6,Kamala Harris,DEM,46,1000,Voters,2024-10-15,2024-10-19,Recent
Hart/POS,2.6,Donald Trump,REP,48,1000,Voters,2024-10-15,2024-10-19,Recent
TIPP,1.8,Kamala Harris,DEM,48,1223,Voters,2024-10-16,2024-10-18,Recent
TIPP,1.8,Donald Trump,REP,47,1223,Voters,2024-10-16,2024-10-18,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8204,Voters,2024-10-16,2024-10-18,Recent
Morning Consult,1.9,Donald Trump,REP,46,8204,Voters,2024-10-16,2024-10-18,Recent
Suffolk,2.9,Kamala Harris,DEM,45.3,1000,Voters,2024-10-14,2024-10-18,Recent
Suffolk,2.9,Donald Trump,REP,44.4,1000,Voters,2024-10-14,2024-10-18,Recent
Suffolk,2.9,Kamala Harris,DEM,49.7,1000,Voters,2024-10-14,2024-10-18,Recent
Suffolk,2.9,Donald Trump,REP,48.7,1000,Voters,2024-10-14,2024-10-18,Recent
TIPP,1.8,Kamala Harris,DEM,49,1257,Voters,2024-10-15,2024-10-17,Recent
TIPP,1.8,Donald Trump,REP,47,1257,Voters,2024-10-15,2024-10-17,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8484,Voters,2024-10-15,2024-10-17,Recent
Morning Consult,1.9,Donald Trump,REP,46,8484,Voters,2024-10-15,2024-10-17,Recent
AtlasIntel,2.7,Kamala Harris,DEM,47.6,4180,Voters,2024-10-12,2024-10-17,Recent
AtlasIntel,2.7,Donald Trump,REP,50.7,4180,Voters,2024-10-12,2024-10-17,Recent
AtlasIntel,2.7,Kamala Harris,DEM,48.1,4180,Voters,2024-10-12,2024-10-17,Recent
AtlasIntel,2.7,Donald Trump,REP,50.8,4180,Voters,2024-10-12,2024-10-17,Recent
YouGov,3,Kamala Harris,DEM,50,1500,Voters,2024-10-07,2024-10-17,Recent
YouGov,3,Donald Trump,REP,46,1500,Voters,2024-10-07,2024-10-17,Recent
YouGov,3,Kamala Harris,DEM,51,1500,Voters,2024-10-07,2024-10-17,Recent
YouGov,3,Donald Trump,REP,46,1500,Voters,2024-10-07,2024-10-17,Recent
TIPP,1.8,Kamala Harris,DEM,49,1228,Voters,2024-10-14,2024-10-16,Recent
TIPP,1.8,Donald Trump,REP,46,1228,Voters,2024-10-14,2024-10-16,Recent
Emerson,2.9,Kamala Harris,DEM,49.5,1000,Voters,2024-10-14,2024-10-16,Recent
Emerson,2.9,Donald Trump,REP,49.2,1000,Voters,2024-10-14,2024-10-16,Recent
OnMessage Inc.,1.1,Kamala Harris,DEM,45,800,Voters,2024-10-14,2024-10-16,Recent
OnMessage Inc.,1.1,Donald Trump,REP,46,800,Voters,2024-10-14,2024-10-16,Recent
RMG Research,2.3,Kamala Harris,DEM,50,2950,Voters,2024-10-14,2024-10-16,Recent
RMG Research,2.3,Donald Trump,REP,49,2950,Voters,2024-10-14,2024-10-16,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8756,Voters,2024-10-14,2024-10-16,Recent
Morning Consult,1.9,Donald Trump,REP,46,8756,Voters,2024-10-14,2024-10-16,Recent
UMass Amherst/YouGov,2.4,Kamala Harris,DEM,48,1412,Adults,2024-10-11,2024-10-16,Recent
UMass Amherst/YouGov,2.4,Donald Trump,REP,46,1412,Adults,2024-10-11,2024-10-16,Recent
TIPP,1.8,Kamala Harris,DEM,50,1248,Voters,2024-10-13,2024-10-15,Recent
TIPP,1.8,Donald Trump,REP,46,1248,Voters,2024-10-13,2024-10-15,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8839,Voters,2024-10-13,2024-10-15,Recent
Morning Consult,1.9,Donald Trump,REP,46,8839,Voters,2024-10-13,2024-10-15,Recent
YouGov,3,Kamala Harris,DEM,48,1457,Voters,2024-10-12,2024-10-15,Recent
YouGov,3,Donald Trump,REP,45,1457,Voters,2024-10-12,2024-10-15,Recent
YouGov,3,Kamala Harris,DEM,49,1314,Voters,2024-10-12,2024-10-15,Recent
YouGov,3,Donald Trump,REP,45,1314,Voters,2024-10-12,2024-10-15,Recent
TIPP,1.8,Kamala Harris,DEM,49,1198,Voters,2024-10-12,2024-10-14,Recent
TIPP,1.8,Donald Trump,REP,46,1198,Voters,2024-10-12,2024-10-14,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,8929,Voters,2024-10-12,2024-10-14,Recent
Morning Consult,1.9,Donald Trump,REP,46,8929,Voters,2024-10-12,2024-10-14,Recent
Beacon/Shaw,2.8,Kamala Harris,DEM,48,1110,Voters,2024-10-11,2024-10-14,Recent
Beacon/Shaw,2.8,Donald Trump,REP,50,1110,Voters,2024-10-11,2024-10-14,Recent
Beacon/Shaw,2.8,Kamala Harris,DEM,48,870,Voters,2024-10-11,2024-10-14,Recent
Beacon/Shaw,2.8,Donald Trump,REP,50,870,Voters,2024-10-11,2024-10-14,Recent
Fairleigh Dickinson,2.6,Kamala Harris,DEM,50,806,Voters,2024-10-08,2024-10-14,Recent
Fairleigh Dickinson,2.6,Donald Trump,REP,47,806,Voters,2024-10-08,2024-10-14,Recent
TIPP,1.8,Kamala Harris,DEM,49,1212,Voters,2024-10-11,2024-10-13,Recent
TIPP,1.8,Donald Trump,REP,46,1212,Voters,2024-10-11,2024-10-13,Recent
HarrisX/Harris Poll,1.5,Kamala Harris,DEM,49,2596,Voters,2024-10-11,2024-10-13,Recent
HarrisX/Harris Poll,1.5,Donald Trump,REP,48,2596,Voters,2024-10-11,2024-10-13,Recent
HarrisX/Harris Poll,1.5,Kamala Harris,DEM,51,2596,Voters,2024-10-11,2024-10-13,Recent
HarrisX/Harris Poll,1.5,Donald Trump,REP,49,2596,Voters,2024-10-11,2024-10-13,Recent
HarrisX/Harris Poll,1.5,Kamala Harris,DEM,51,3145,Voters,2024-10-11,2024-10-13,Recent
