pollster,numeric_grade,candidate_name,party,pct,sample_size,population,methodology,recent_poll
YouGov,3,Donald Trump,REP,47,1032,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,1,1032,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1032,Voters,Online Panel,Recent
YouGov,3,Chase Oliver,LIB,1,1032,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,48,1151,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,46,1151,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,48,1033,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,47,1033,Voters,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,44.5,1013,Adults,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,41.5,1013,Adults,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,48.7,841,Voters,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,44.6,841,Voters,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,49.9,755,Voters,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,46.4,755,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,51,10454,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,10454,Voters,Online Panel,Recent
Data for Progress,2.6,Kamala Harris,DEM,49,1211,Voters,Online Panel,Recent
Data for Progress,2.6,Donald Trump,REP,46,1211,Voters,Online Panel,Recent
Cygnal,2.1,Kamala Harris,DEM,47.2,1500,Voters,NA,Recent
Cygnal,2.1,Donald Trump,REP,44.5,1500,Voters,NA,Recent
Cygnal,2.1,Robert F. Kennedy,IND,2,1500,Voters,NA,Recent
Cygnal,2.1,Jill Stein,GRE,1,1500,Voters,NA,Recent
Cygnal,2.1,Cornel West,IND,1,1500,Voters,NA,Recent
Cygnal,2.1,Chase Oliver,LIB,1,1500,Voters,NA,Recent
Cygnal,2.1,Kamala Harris,DEM,50.3,1500,Voters,NA,Recent
Cygnal,2.1,Donald Trump,REP,47,1500,Voters,NA,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,10775,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,10775,Voters,Online Panel,Recent
RMG Research,2.3,Kamala Harris,DEM,49,2965,Voters,Online Panel,Recent
RMG Research,2.3,Donald Trump,REP,49,2965,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,11085,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,11085,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,48,1463,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,45,1463,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1463,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,0,1463,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,49,1261,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,46,1261,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1261,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,0,1261,Voters,Online Panel,Recent
Emerson,2.9,Kamala Harris,DEM,50.2,1000,Voters,IVR/Online Panel/Text-to-Web,Recent
Emerson,2.9,Donald Trump,REP,48.6,1000,Voters,IVR/Online Panel/Text-to-Web,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,11274,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,46,11274,Voters,Online Panel,Recent
Marist,2.9,Kamala Harris,DEM,50,1294,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Donald Trump,REP,48,1294,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Kamala Harris,DEM,50,1514,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Marist,2.9,Donald Trump,REP,47,1514,Voters,Live Phone/Online Panel/Text-to-Web,Recent
Susquehanna,2.3,Kamala Harris,DEM,49,1001,Voters,NA,Recent
Susquehanna,2.3,Donald Trump,REP,44,1001,Voters,NA,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,11568,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,46,11568,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Kamala Harris,DEM,48,1616,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Donald Trump,REP,46,1616,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Robert F. Kennedy,IND,1,1616,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Chase Oliver,LIB,0,1616,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Jill Stein,GRE,0,1616,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,51,11381,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,46,11381,Voters,Online Panel,Recent
Leger,2,Kamala Harris,DEM,51,837,Voters,NA,Recent
Leger,2,Donald Trump,REP,47,837,Voters,NA,Recent
Leger,2,Kamala Harris,DEM,50,888,Voters,NA,Recent
Leger,2,Donald Trump,REP,48,888,Voters,NA,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,11289,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,11289,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,11003,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,11003,Voters,Online Panel,Recent
McCourtney Institute/YouGov,3,Kamala Harris,DEM,48,848,Voters,Online Panel,Recent
McCourtney Institute/YouGov,3,Donald Trump,REP,45,848,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Kamala Harris,DEM,47,2021,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Donald Trump,REP,44,2021,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Chase Oliver,LIB,1,2021,Voters,Online Panel,Recent
Redfield & Wilton Strategies,1.8,Jill Stein,GRE,1,2021,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,11155,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,11155,Voters,Online Panel,Recent
Echelon Insights,2.7,Kamala Harris,DEM,52,1005,Voters,Online Panel,Recent
Echelon Insights,2.7,Donald Trump,REP,45,1005,Voters,Online Panel,Recent
Echelon Insights,2.7,Kamala Harris,DEM,49,1005,Voters,Online Panel,Recent
Echelon Insights,2.7,Donald Trump,REP,44,1005,Voters,Online Panel,Recent
Echelon Insights,2.7,Robert F. Kennedy,IND,2,1005,Voters,Online Panel,Recent
Echelon Insights,2.7,Chase Oliver,LIB,1,1005,Voters,Online Panel,Recent
Echelon Insights,2.7,Jill Stein,GRE,0,1005,Voters,Online Panel,Recent
Echelon Insights,2.7,Cornel West,IND,0,1005,Voters,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,45.6,2021,Adults,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,41.1,2021,Adults,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,48.6,1663,Voters,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,43.9,1663,Voters,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,49.5,1524,Voters,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,45.7,1524,Voters,Online Panel,Recent
RMG Research,2.3,Kamala Harris,DEM,50,2952,Voters,Online Panel,Recent
RMG Research,2.3,Donald Trump,REP,48,2952,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,51,10966,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,10966,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,51,11167,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,11167,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,47,1424,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,44,1424,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1424,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,0,1424,Voters,Online Panel,Recent
YouGov,3,Kamala Harris,DEM,49,1220,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,46,1220,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1220,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,0,1220,Voters,Online Panel,Recent
Clarity,1.6,Kamala Harris,DEM,51,1000,Voters,Online Panel,Recent
Clarity,1.6,Donald Trump,REP,44,1000,Voters,Online Panel,Recent
Clarity,1.6,Kamala Harris,DEM,58,1000,Voters,Online Panel,Recent
Clarity,1.6,JD Vance,REP,37,1000,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,51,11157,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,11157,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,11057,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,11057,Voters,Online Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,46.61,871,Voters,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,40.48,871,Voters,Probability Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,50,785,Voters,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,44,785,Voters,Probability Panel,Recent
Ipsos,2.8,Kamala Harris,DEM,42,1029,Adults,Probability Panel,Recent
Ipsos,2.8,Donald Trump,REP,38,1029,Adults,Probability Panel,Recent
CNN/SSRS,2.8,Kamala Harris,DEM,48,2074,Voters,Probability Panel,Recent
CNN/SSRS,2.8,Donald Trump,REP,47,2074,Voters,Probability Panel,Recent
CNN/SSRS,2.8,Jill Stein,GRE,1,2074,Voters,Probability Panel,Recent
CNN/SSRS,2.8,Chase Oliver,LIB,2,2074,Voters,Probability Panel,Recent
CNN/SSRS,2.8,Kamala Harris,DEM,47,2074,Voters,Probability Panel,Recent
CNN/SSRS,2.8,Donald Trump,REP,47,2074,Voters,Probability Panel,Recent
CNN/SSRS,2.8,Jill Stein,GRE,1,2074,Voters,Probability Panel,Recent
CNN/SSRS,2.8,Chase Oliver,LIB,2,2074,Voters,Probability Panel,Recent
Quinnipiac,2.8,Kamala Harris,DEM,47,1728,Voters,Live Phone,Recent
Quinnipiac,2.8,Donald Trump,REP,48,1728,Voters,Live Phone,Recent
Quinnipiac,2.8,Jill Stein,GRE,1,1728,Voters,Live Phone,Recent
Quinnipiac,2.8,Chase Oliver,LIB,1,1728,Voters,Live Phone,Recent
Quinnipiac,2.8,Kamala Harris,DEM,48,1728,Voters,Live Phone,Recent
Quinnipiac,2.8,Donald Trump,REP,48,1728,Voters,Live Phone,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,10840,Voters,NA,Recent
Morning Consult,1.9,Donald Trump,REP,45,10840,Voters,NA,Recent
YouGov,3,Kamala Harris,DEM,52,3129,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,48,3129,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,49,10539,Voters,NA,Recent
Morning Consult,1.9,Donald Trump,REP,46,10539,Voters,NA,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,10528,Voters,NA,Recent
Morning Consult,1.9,Donald Trump,REP,46,10528,Voters,NA,Recent
RMG Research,2.3,Kamala Harris,DEM,50,2969,Voters,NA,Recent
RMG Research,2.3,Donald Trump,REP,48,2969,Voters,NA,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,10578,Voters,NA,Recent
Morning Consult,1.9,Donald Trump,REP,46,10578,Voters,NA,Recent
YouGov,3,Kamala Harris,DEM,49,1445,Voters,Online Panel,Recent
YouGov,3,Donald Trump,REP,45,1445,Voters,Online Panel,Recent
YouGov,3,Jill Stein,GRE,1,1445,Voters,Online Panel,Recent
YouGov,3,Cornel West,IND,0,1445,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,10968,Voters,NA,Recent
Morning Consult,1.9,Donald Trump,REP,45,10968,Voters,NA,Recent
Hart/POS,2.6,Kamala Harris,DEM,49,1000,Voters,Live Phone,Recent
Hart/POS,2.6,Donald Trump,REP,44,1000,Voters,Live Phone,Recent
Hart/POS,2.6,Kamala Harris,DEM,47,1000,Voters,Live Phone,Recent
Hart/POS,2.6,Donald Trump,REP,41,1000,Voters,Live Phone,Recent
Hart/POS,2.6,Robert F. Kennedy,IND,2,1000,Voters,Live Phone,Recent
Hart/POS,2.6,Cornel West,IND,0,1000,Voters,Live Phone,Recent
Hart/POS,2.6,Jill Stein,GRE,2,1000,Voters,Live Phone,Recent
Hart/POS,2.6,Chase Oliver,LIB,1,1000,Voters,Live Phone,Recent
Hart/POS,2.6,Randall A. Terry,CON,0,1000,Voters,Live Phone,Recent
HarrisX,1.5,Kamala Harris,DEM,51,1505,Voters,Online Panel,Recent
HarrisX,1.5,Donald Trump,REP,49,1505,Voters,Online Panel,Recent
HarrisX,1.5,Kamala Harris,DEM,50,1505,Voters,Online Panel,Recent
HarrisX,1.5,Donald Trump,REP,45,1505,Voters,Online Panel,Recent
HarrisX,1.5,Cornel West,IND,3,1505,Voters,Online Panel,Recent
HarrisX,1.5,Jill Stein,GRE,2,1505,Voters,Online Panel,Recent
HarrisX,1.5,Kamala Harris,DEM,51,1306,Voters,Online Panel,Recent
HarrisX,1.5,Donald Trump,REP,49,1306,Voters,Online Panel,Recent
HarrisX,1.5,Kamala Harris,DEM,51,1247,Voters,Online Panel,Recent
HarrisX,1.5,Donald Trump,REP,49,1247,Voters,Online Panel,Recent
HarrisX,1.5,Kamala Harris,DEM,50,1306,Voters,Online Panel,Recent
HarrisX,1.5,Donald Trump,REP,46,1306,Voters,Online Panel,Recent
HarrisX,1.5,Cornel West,IND,3,1306,Voters,Online Panel,Recent
HarrisX,1.5,Jill Stein,GRE,1,1306,Voters,Online Panel,Recent
HarrisX,1.5,Kamala Harris,DEM,50,1247,Voters,Online Panel,Recent
HarrisX,1.5,Donald Trump,REP,46,1247,Voters,Online Panel,Recent
HarrisX,1.5,Cornel West,IND,2,1247,Voters,Online Panel,Recent
HarrisX,1.5,Jill Stein,GRE,1,1247,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,11092,Voters,NA,Recent
Morning Consult,1.9,Donald Trump,REP,45,11092,Voters,NA,Recent
Angus Reid,2,Kamala Harris,DEM,49,1707,Voters,Online Panel,Recent
Angus Reid,2,Donald Trump,REP,45,1707,Voters,Online Panel,Recent
Beacon/Shaw,2.8,Kamala Harris,DEM,50,1102,Voters,Live Phone/Text-to-Web,Recent
Beacon/Shaw,2.8,Donald Trump,REP,48,1102,Voters,Live Phone/Text-to-Web,Recent
Beacon/Shaw,2.8,Kamala Harris,DEM,50,876,Voters,Live Phone/Text-to-Web,Recent
Beacon/Shaw,2.8,Donald Trump,REP,48,876,Voters,Live Phone/Text-to-Web,Recent
J.L. Partners,1.6,Kamala Harris,DEM,43,1000,Voters,Live Phone/Online Panel/App Panel,Recent
J.L. Partners,1.6,Donald Trump,REP,42,1000,Voters,Live Phone/Online Panel/App Panel,Recent
J.L. Partners,1.6,Robert F. Kennedy,IND,4,1000,Voters,Live Phone/Online Panel/App Panel,Recent
J.L. Partners,1.6,Jill Stein,GRE,1,1000,Voters,Live Phone/Online Panel/App Panel,Recent
J.L. Partners,1.6,Cornel West,IND,0,1000,Voters,Live Phone/Online Panel/App Panel,Recent
J.L. Partners,1.6,Chase Oliver,LIB,0,1000,Voters,Live Phone/Online Panel/App Panel,Recent
J.L. Partners,1.6,Kamala Harris,DEM,47,1000,Voters,Live Phone/Online Panel/App Panel,Recent
J.L. Partners,1.6,Donald Trump,REP,45,1000,Voters,Live Phone/Online Panel/App Panel,Recent
Siena/NYT,3,Kamala Harris,DEM,47,2437,Voters,Live Phone,Recent
Siena/NYT,3,Donald Trump,REP,47,2437,Voters,Live Phone,Recent
Siena/NYT,3,Kamala Harris,DEM,46,2437,Voters,Live Phone,Recent
Siena/NYT,3,Donald Trump,REP,47,2437,Voters,Live Phone,Recent
Siena/NYT,3,Kamala Harris,DEM,45,2437,Voters,Live Phone,Recent
Siena/NYT,3,Donald Trump,REP,46,2437,Voters,Live Phone,Recent
Siena/NYT,3,Jill Stein,GRE,2,2437,Voters,Live Phone,Recent
Siena/NYT,3,Chase Oliver,LIB,2,2437,Voters,Live Phone,Recent
Siena/NYT,3,Kamala Harris,DEM,46,2437,Voters,Live Phone,Recent
Siena/NYT,3,Donald Trump,REP,46,2437,Voters,Live Phone,Recent
Siena/NYT,3,Jill Stein,GRE,2,2437,Voters,Live Phone,Recent
Siena/NYT,3,Chase Oliver,LIB,2,2437,Voters,Live Phone,Recent
Morning Consult,1.9,Kamala Harris,DEM,51,11022,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,11022,Voters,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,44.9,2027,Adults,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,39.4,2027,Adults,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,47.7,1724,Voters,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,42.5,1724,Voters,Online Panel,Recent
Big Village,1.2,Kamala Harris,DEM,50.5,1568,Voters,Online Panel,Recent
Big Village,1.2,Donald Trump,REP,43.4,1568,Voters,Online Panel,Recent
Morning Consult,1.9,Kamala Harris,DEM,50,10868,Voters,Online Panel,Recent
Morning Consult,1.9,Donald Trump,REP,45,10868,Voters,Online Panel,Recent
Data for Progress,2.6,Kamala Harris,DEM,50,1283,Voters,Online Panel,Older
Data for Progress,2.6,Donald Trump,REP,46,1283,Voters,Online Panel,Older
YouGov,3,Kamala Harris,DEM,50,1177,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,45,1177,Voters,Online Panel,Older
YouGov,3,Kamala Harris,DEM,50,1090,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,46,1090,Voters,Online Panel,Older
YouGov,3,Kamala Harris,DEM,48,1175,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,44,1175,Voters,Online Panel,Older
YouGov,3,Cornel West,IND,1,1175,Voters,Online Panel,Older
YouGov,3,Jill Stein,GRE,1,1175,Voters,Online Panel,Older
YouGov,3,Chase Oliver,LIB,1,1175,Voters,Online Panel,Older
YouGov,3,Kamala Harris,DEM,49,1090,Voters,Online Panel,Older
YouGov,3,Donald Trump,REP,45,1090,Voters,Online Panel,Older
YouGov,3,Cornel West,IND,1,1090,Voters,Online Panel,Older
YouGov,3,Jill Stein,GRE,1,1090,Voters,Online Panel,Older
YouGov,3,Chase Oliver,LIB,1,1090,Voters,Online Panel,Older
TIPP,1.8,Kamala Harris,DEM,47,1721,Voters,Online Panel,Older
TIPP,1.8,Donald Trump,REP,43,1721,Voters,Online Panel,Older
TIPP,1.8,Kamala Harris,DEM,45,1721,Voters,Online Panel,Older
TIPP,1.8,Donald Trump,REP,41,1721,Voters,Online Panel,Older
TIPP,1.8,Robert F. Kennedy,IND,5,1721,Voters,Online Panel,Older
Ipsos,2.8,Kamala Harris,DEM,51,3276,Adults,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,46,3276,Adults,Probability Panel,Older
Ipsos,2.8,Kamala Harris,DEM,51,2772,Voters,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,47,2772,Voters,Probability Panel,Older
Ipsos,2.8,Kamala Harris,DEM,52,2196,Voters,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,46,2196,Voters,Probability Panel,Older
Ipsos,2.8,Kamala Harris,DEM,51,3276,Adults,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,45,3276,Adults,Probability Panel,Older
Ipsos,2.8,Cornel West,IND,1,3276,Adults,Probability Panel,Older
Ipsos,2.8,Jill Stein,GRE,1,3276,Adults,Probability Panel,Older
Ipsos,2.8,Chase Oliver,LIB,1,3276,Adults,Probability Panel,Older
Ipsos,2.8,Kamala Harris,DEM,50,2772,Voters,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,46,2772,Voters,Probability Panel,Older
Ipsos,2.8,Cornel West,IND,1,2772,Voters,Probability Panel,Older
Ipsos,2.8,Jill Stein,GRE,1,2772,Voters,Probability Panel,Older
Ipsos,2.8,Chase Oliver,LIB,1,2772,Voters,Probability Panel,Older
Ipsos,2.8,Kamala Harris,DEM,51,2196,Voters,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,46,2196,Voters,Probability Panel,Older
Ipsos,2.8,Cornel West,IND,1,2196,Voters,Probability Panel,Older
Ipsos,2.8,Jill Stein,GRE,1,2196,Voters,Probability Panel,Older
Ipsos,2.8,Chase Oliver,LIB,0,2196,Voters,Probability Panel,Older
Morning Consult,1.9,Kamala Harris,DEM,50,10270,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,45,10270,Voters,Online Panel,Older
HarrisX,1.5,Kamala Harris,DEM,52,3018,Voters,Online Panel,Older
HarrisX,1.5,Donald Trump,REP,48,3018,Voters,Online Panel,Older
HarrisX,1.5,Kamala Harris,DEM,50,3018,Voters,Online Panel,Older
HarrisX,1.5,Donald Trump,REP,47,3018,Voters,Online Panel,Older
HarrisX,1.5,Cornel West,IND,2,3018,Voters,Online Panel,Older
HarrisX,1.5,Jill Stein,GRE,1,3018,Voters,Online Panel,Older
J.L. Partners,1.6,Kamala Harris,DEM,47,744,Adults,Live Phone/Online Panel/Text-to-Web,Older
J.L. Partners,1.6,Donald Trump,REP,42,744,Adults,Live Phone/Online Panel/Text-to-Web,Older
J.L. Partners,1.6,Robert F. Kennedy,IND,3,744,Adults,Live Phone/Online Panel/Text-to-Web,Older
J.L. Partners,1.6,Jill Stein,GRE,1,744,Adults,Live Phone/Online Panel/Text-to-Web,Older
J.L. Partners,1.6,Cornel West,IND,1,744,Adults,Live Phone/Online Panel/Text-to-Web,Older
J.L. Partners,1.6,Chase Oliver,LIB,1,744,Adults,Live Phone/Online Panel/Text-to-Web,Older
Redfield & Wilton Strategies,1.8,Kamala Harris,DEM,44,1952,Voters,Online Panel,Older
Redfield & Wilton Strategies,1.8,Donald Trump,REP,42,1952,Voters,Online Panel,Older
Redfield & Wilton Strategies,1.8,Chase Oliver,LIB,1,1952,Voters,Online Panel,Older
Redfield & Wilton Strategies,1.8,Jill Stein,GRE,1,1952,Voters,Online Panel,Older
Ipsos,2.8,Kamala Harris,DEM,47,1405,Voters,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,42,1405,Voters,Probability Panel,Older
Ipsos,2.8,Kamala Harris,DEM,43,1690,Adults,Probability Panel,Older
Ipsos,2.8,Donald Trump,REP,39,1690,Adults,Probability Panel,Older
AtlasIntel,2.7,Kamala Harris,DEM,48,1775,Voters,NA,Older
AtlasIntel,2.7,Donald Trump,REP,50.9,1775,Voters,NA,Older
AtlasIntel,2.7,Kamala Harris,DEM,47.3,1775,Voters,NA,Older
AtlasIntel,2.7,Donald Trump,REP,50.9,1775,Voters,NA,Older
AtlasIntel,2.7,Jill Stein,GRE,0.4,1775,Voters,NA,Older
AtlasIntel,2.7,Cornel West,IND,0.2,1775,Voters,NA,Older
AtlasIntel,2.7,Chase Oliver,LIB,0.1,1775,Voters,NA,Older
Morning Consult,1.9,Kamala Harris,DEM,50,10100,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,45,10100,Voters,Online Panel,Older
RMG Research,2.3,Kamala Harris,DEM,51,2756,Voters,NA,Older
RMG Research,2.3,Donald Trump,REP,47,2756,Voters,NA,Older
Morning Consult,1.9,Kamala Harris,DEM,50,3317,Voters,Online Panel,Older
Morning Consult,1.9,Donald Trump,REP,45,3317,Voters,Online Panel,Older
Leger,2,Kamala Harris,DEM,47,1174,Voters,Online Panel,Older
